importance_ranking,variable,value
1,x1,1
2,x1,16
3,x1,79
4,x1,2
5,x1,2
1,x2,65
2,x2,34
3,x2,1
4,x2,
5,x2,
1,x3,
2,x3,
3,x3,
4,x3,31
5,x3,69
1,x4,
2,x4,
3,x4,4
4,x4,67
5,x4,29
1,x5,34
2,x5,50
3,x5,16
4,x5,
5,x5,
