,time,sigma,label
0,0.0,2.207159645015215e-09,RSF
1,0.0112239069065096,2.2508582840468426e-09,RSF
2,0.0216821220539827,2.2469110730465795e-09,RSF
3,0.037458485801724,2.258178035827631e-09,RSF
4,0.0565790455479318,2.275891837149915e-09,RSF
5,0.0729762677238245,2.284689849879309e-09,RSF
6,0.0976345282389433,2.3303064873141663e-09,RSF
7,0.117684161043515,2.3312371994487187e-09,RSF
8,0.124842185502207,2.339821402985198e-09,RSF
9,0.149508907993504,2.36731810850849e-09,RSF
10,0.184826634584054,2.4028218372826725e-09,RSF
11,0.197640030736136,2.4259524237606053e-09,RSF
12,0.214480990374441,2.434776674986888e-09,RSF
13,0.265692367029201,2.4841886699751196e-09,RSF
14,0.275042512996518,2.5858101429223666e-09,RSF
15,0.281323464402655,2.58993624300437e-09,RSF
16,0.282974981657602,2.5789273719656222e-09,RSF
17,0.288808935951838,2.627970047739326e-09,RSF
18,0.295054041197579,2.6682257985553525e-09,RSF
19,0.303134070892613,2.699831453869924e-09,RSF
20,0.309867823564343,2.7087282532241208e-09,RSF
21,0.312909420024034,2.734491892430327e-09,RSF
22,0.317463012373286,2.7691355610598784e-09,RSF
23,0.360818694629729,2.8038317936431327e-09,RSF
24,0.381749287893542,2.846944335969077e-09,RSF
25,0.38223225337667,2.8406948594148687e-09,RSF
26,0.384242311193148,2.9309924376286656e-09,RSF
27,0.388561489723857,2.925463995297371e-09,RSF
28,0.399278391650206,2.9520421014194195e-09,RSF
29,0.417084942673679,3.0342995725124e-09,RSF
30,0.423987001366956,3.1702956249604524e-09,RSF
31,0.438858801129688,3.1453313036151254e-09,RSF
32,0.446114403226365,3.1643944194988666e-09,RSF
33,0.517518514065673,3.1758201887880064e-09,RSF
34,0.530620697180482,3.2045892063326406e-09,RSF
35,0.534950840354779,3.2108315788881156e-09,RSF
36,0.538063597630859,3.2215923587155486e-09,RSF
37,0.542590607365182,3.2526931769958206e-09,RSF
38,0.554638252764671,3.3554555479379737e-09,RSF
39,0.558375082663878,3.369626551602904e-09,RSF
40,0.56619959197827,3.368923400588589e-09,RSF
