importance_ranking,variable,value
1,x1,14
2,x1,19
3,x1,19
4,x1,22
5,x1,26
1,x2,36
2,x2,37
3,x2,17
4,x2,8
5,x2,2
1,x3,5
2,x3,15
3,x3,12
4,x3,29
5,x3,39
1,x4,25
2,x4,11
3,x4,26
4,x4,23
5,x4,15
1,x5,20
2,x5,18
3,x5,26
4,x5,18
5,x5,18
