variable_name,variable,value
x1,0.0126006938517094,0.0
x2,0.0126006938517094,0.0
x3,0.0126006938517094,0.0
x4,0.0126006938517094,0.0
x5,0.0126006938517094,0.0
x1,0.0257642492651939,0.0
x2,0.0257642492651939,0.0
x3,0.0257642492651939,0.0
x4,0.0257642492651939,0.0
x5,0.0257642492651939,0.0
x1,0.0580036528408527,0.0
x2,0.0580036528408527,0.0
x3,0.0580036528408527,0.0
x4,0.0580036528408527,0.0
x5,0.0580036528408527,0.0
x1,0.0690385289490223,0.0
x2,0.0690385289490223,0.0
x3,0.0690385289490223,0.0
x4,0.0690385289490223,0.0
x5,0.0690385289490223,0.0
x1,0.0892093386501074,0.0
x2,0.0892093386501074,0.0
x3,0.0892093386501074,0.0
x4,0.0892093386501074,0.0
x5,0.0892093386501074,0.0
x1,0.132403302937746,0.0
x2,0.132403302937746,0.0
x3,0.132403302937746,0.0
x4,0.132403302937746,0.0
x5,0.132403302937746,0.0
x1,0.163132963702083,0.0
x2,0.163132963702083,0.0
x3,0.163132963702083,0.0
x4,0.163132963702083,0.0
x5,0.163132963702083,0.0
x1,0.17827938683331,0.0
x2,0.17827938683331,0.0
x3,0.17827938683331,0.0
x4,0.17827938683331,0.0
x5,0.17827938683331,0.0
x1,0.180074567003756,-0.2150770894642551
x2,0.180074567003756,-0.14056206843113656
x3,0.180074567003756,0.26869370775607354
x4,0.180074567003756,-0.371058018706259
x5,0.180074567003756,0.0046091156422758735
x1,0.192983698099852,-0.2150770894642551
x2,0.192983698099852,-0.14056206843113656
x3,0.192983698099852,0.26869370775607354
x4,0.192983698099852,-0.371058018706259
x5,0.192983698099852,0.0046091156422758735
x1,0.223250236362219,-0.2150770894642551
x2,0.223250236362219,-0.14056206843113656
x3,0.223250236362219,0.26869370775607354
x4,0.223250236362219,-0.371058018706259
x5,0.223250236362219,0.0046091156422758735
x1,0.246389228850603,-0.2150770894642551
x2,0.246389228850603,-0.14056206843113656
x3,0.246389228850603,0.26869370775607354
x4,0.246389228850603,-0.371058018706259
x5,0.246389228850603,0.0046091156422758735
x1,0.259241838008165,-0.2150770894642551
x2,0.259241838008165,-0.14056206843113656
x3,0.259241838008165,0.26869370775607354
x4,0.259241838008165,-0.371058018706259
x5,0.259241838008165,0.0046091156422758735
x1,0.260139562189579,-0.2150770894642551
x2,0.260139562189579,-0.14056206843113656
x3,0.260139562189579,0.26869370775607354
x4,0.260139562189579,-0.371058018706259
x5,0.260139562189579,0.0046091156422758735
x1,0.262126537039876,-0.2150770894642551
x2,0.262126537039876,-0.14056206843113656
x3,0.262126537039876,0.26869370775607354
x4,0.262126537039876,-0.371058018706259
x5,0.262126537039876,0.0046091156422758735
x1,0.269051073119044,-0.2150770894642551
x2,0.269051073119044,-0.14056206843113656
x3,0.269051073119044,0.26869370775607354
x4,0.269051073119044,-0.371058018706259
x5,0.269051073119044,0.0046091156422758735
x1,0.283422913535228,-0.215121943095895
x2,0.283422913535228,-0.14057535754697267
x3,0.283422913535228,0.2685789153625426
x4,0.283422913535228,-0.37111541791711466
x5,0.283422913535228,0.0046083660774751565
x1,0.299757370725274,-0.215121943095895
x2,0.299757370725274,-0.14057535754697267
x3,0.299757370725274,0.2685789153625426
x4,0.299757370725274,-0.37111541791711466
x5,0.299757370725274,0.0046083660774751565
x1,0.324556741623051,-0.2151668792377495
x2,0.324556741623051,-0.14058865738444148
x3,0.324556741623051,0.2684639707465938
x4,0.324556741623051,-0.3711728769762913
x5,0.324556741623051,0.004607615654923871
x1,0.336398752474155,-0.21521186491471436
x2,0.336398752474155,-0.14060195815918133
x3,0.336398752474155,0.26834895827627003
x4,0.336398752474155,-0.37123035372181934
x5,0.336398752474155,0.004606864928014953
x1,0.352174695541912,-0.21525687799014095
x2,0.352174695541912,-0.1406152533278148
x3,0.352174695541912,0.2682339344511659
x4,0.352174695541912,-0.3712878199658208
x5,0.352174695541912,0.004606114265057584
x1,0.390979858115315,-0.21525687799014095
x2,0.390979858115315,-0.1406152533278148
x3,0.390979858115315,0.2682339344511659
x4,0.390979858115315,-0.3712878199658208
x5,0.390979858115315,0.004606114265057584
x1,0.405693442812799,-0.2153019404935239
x2,0.405693442812799,-0.1406285494001175
x3,0.405693442812799,0.2681188428901998
x4,0.405693442812799,-0.3713453039217572
x5,0.405693442812799,0.004605363294401686
x1,0.405915873125196,-0.2153019404935239
x2,0.405915873125196,-0.1406285494001175
x3,0.405915873125196,0.2681188428901998
x4,0.405915873125196,-0.3713453039217572
x5,0.405915873125196,0.004605363294401686
x1,0.411972233447546,-0.21534716328468104
x2,0.411972233447546,-0.14064187902769185
x3,0.411972233447546,0.2680034006169377
x4,0.411972233447546,-0.37140294690267006
x5,0.411972233447546,0.004604610168019495
x1,0.430300170555711,-0.21534716328468104
x2,0.430300170555711,-0.14064187902769185
x3,0.430300170555711,0.2680034006169377
x4,0.430300170555711,-0.37140294690267006
x5,0.430300170555711,0.004604610168019495
x1,0.433445033800847,-0.2153924742843294
x2,0.433445033800847,-0.1406552208884552
x3,0.433445033800847,0.2678877918752668
x4,0.433445033800847,-0.3714606568650148
x5,0.433445033800847,0.004603856086933897
x1,0.493042347146959,-0.21543781882417323
x2,0.493042347146959,-0.14066855886722596
x3,0.493042347146959,0.2677721561435988
x4,0.493042347146959,-0.371518364208037
x5,0.493042347146959,0.004603101956964964
x1,0.497846614569426,-0.21543781882417323
x2,0.497846614569426,-0.14066855886722596
x3,0.497846614569426,0.2677721561435988
x4,0.497846614569426,-0.371518364208037
x5,0.497846614569426,0.004603101956964964
x1,0.50057985579867,-0.21548321854624714
x2,0.50057985579867,-0.14068189932594938
x3,0.50057985579867,0.26765643816272316
x4,0.50057985579867,-0.37157609654742824
x5,0.50057985579867,0.0046023474176519925
x1,0.51175669692764,-0.21552867637602585
x2,0.51175669692764,-0.14069524310942647
x3,0.51175669692764,0.2675406304564345
x4,0.51175669692764,-0.37163385764021656
x5,0.51175669692764,0.004601592417896769
x1,0.512811055406928,-0.21552867637602585
x2,0.512811055406928,-0.14069524310942647
x3,0.512811055406928,0.2675406304564345
x4,0.512811055406928,-0.37163385764021656
x5,0.512811055406928,0.004601592417896769
x1,0.513758398945257,-0.2155742032525376
x2,0.513758398945257,-0.14070859340851377
x3,0.513758398945257,0.26742470516197014
x4,0.513758398945257,-0.37169166140462195
x5,0.513758398945257,0.004600836772356679
x1,0.524648558856018,-0.21561975581771908
x2,0.524648558856018,-0.14072193750083561
x3,0.524648558856018,0.267308772628167
x4,0.524648558856018,-0.37174945285303335
x5,0.524648558856018,0.004600081200245064
x1,0.527740934054233,-0.2156653367584111
x2,0.527740934054233,-0.1407352761856893
x3,0.527740934054233,0.2671928258836121
x4,0.527740934054233,-0.37180723551966655
x5,0.527740934054233,0.004599325652620956
x1,0.52826306260318,-0.21571094785680658
x2,0.52826306260318,-0.14074860999438352
x3,0.52826306260318,0.26707686027114913
x4,0.52826306260318,-0.3718650117807814
x5,0.52826306260318,0.004598570096879408
x1,0.529193624854088,-0.21571094785680658
x2,0.529193624854088,-0.14074860999438352
x3,0.529193624854088,0.26707686027114913
x4,0.529193624854088,-0.3718650117807814
x5,0.529193624854088,0.004598570096879408
x1,0.531326812736871,-0.21575659353680796
x2,0.531326812736871,-0.14076194022655172
x3,0.531326812736871,0.2669608644331914
x4,0.531326812736871,-0.3719227873465393
x5,0.531326812736871,0.004597814456909679
x1,0.537047188729048,-0.21575659353680796
x2,0.537047188729048,-0.14076194022655172
x3,0.537047188729048,0.2669608644331914
x4,0.537047188729048,-0.3719227873465393
x5,0.537047188729048,0.004597814456909679
x1,0.559662049705611,-0.2158022572980464
x2,0.559662049705611,-0.14077526207503674
x3,0.559662049705611,0.2668448801677738
x4,0.559662049705611,-0.3719805414564929
x5,0.559662049705611,0.004597059002650119
x1,0.564427278479615,-0.21584797207033138
x2,0.564427278479615,-0.14078858515081527
x3,0.564427278479615,0.26672882373456946
x4,0.564427278479615,-0.3720383158582676
x5,0.564427278479615,0.004596303186016253
x1,0.565401553289127,-0.2158937299986798
x2,0.565401553289127,-0.14080190715733643
x3,0.565401553289127,0.26661271502186973
x4,0.565401553289127,-0.3720961006870442
x5,0.565401553289127,0.004595547135069932
x1,0.572416735813022,-0.2158937299986798
x2,0.572416735813022,-0.14080190715733643
x3,0.572416735813022,0.26661271502186973
x4,0.572416735813022,-0.3720961006870442
x5,0.572416735813022,0.004595547135069932
x1,0.593554021122667,-0.21593959354972597
x2,0.593554021122667,-0.14081524624981306
x3,0.593554021122667,0.2664963955731017
x4,0.593554021122667,-0.372153974811551
x5,0.593554021122667,0.004594789815808325
x1,0.622227013340826,-0.21598548516925864
x2,0.622227013340826,-0.14082857984693226
x3,0.622227013340826,0.2663800621038385
x4,0.622227013340826,-0.37221184037375726
x5,0.622227013340826,0.004594032506213368
x1,0.625095522031188,-0.21598548516925864
x2,0.625095522031188,-0.14082857984693226
x3,0.625095522031188,0.2663800621038385
x4,0.625095522031188,-0.37221184037375726
x5,0.625095522031188,0.004594032506213368
x1,0.628150924535649,-0.21603144343170155
x2,0.628150924535649,-0.14084191914850938
x3,0.628150924535649,0.2662636167782033
x4,0.628150924535649,-0.37226974607317187
x5,0.628150924535649,0.0045932745684138425
x1,0.629388545509857,-0.21607744877397955
x2,0.629388545509857,-0.14085525846008878
x3,0.629388545509857,0.2661471091486274
x4,0.629388545509857,-0.3723276672955598
x5,0.629388545509857,0.004592516321744499
x1,0.645145921545308,-0.21612346985866962
x2,0.645145921545308,-0.14086858870140806
x3,0.645145921545308,0.26603061846779774
x4,0.645145921545308,-0.37238556469220485
x5,0.645145921545308,0.004591758279919769
x1,0.660448914842066,-0.216169554249778
x2,0.660448914842066,-0.14088192364867375
x3,0.660448914842066,0.2659140242604872
x4,0.660448914842066,-0.37244349818403366
x5,0.660448914842066,0.004590999657027324
x1,0.666314918952493,-0.21621566066118264
x2,0.666314918952493,-0.14089525135104047
x3,0.666314918952493,0.26579743091543007
x4,0.666314918952493,-0.37250141594243646
x5,0.666314918952493,0.004590241129910284
x1,0.669807551108214,-0.21626198555370965
x2,0.669807551108214,-0.14090862852520392
x3,0.669807551108214,0.2656803418441948
x4,0.669807551108214,-0.3725595646104928
x5,0.669807551108214,0.004589479466398736
x1,0.673077158342133,-0.21630832701621072
x2,0.673077158342133,-0.14092199679544984
x3,0.673077158342133,0.2655632675985359
x4,0.673077158342133,-0.37261769060485095
x5,0.673077158342133,0.004588717984952497
x1,0.675581145206025,-0.21635469986552872
x2,0.675581145206025,-0.14093536044783378
x3,0.675581145206025,0.26544617061179093
x4,0.675581145206025,-0.3726758126350073
x5,0.675581145206025,0.0045879564398391085
x1,0.681114471102408,-0.21640112253037402
x2,0.681114471102408,-0.14094872479053702
x3,0.681114471102408,0.265329004276317
x4,0.681114471102408,-0.3727339538776928
x5,0.681114471102408,0.004587194525079197
x1,0.687183849513531,-0.21640112253037402
x2,0.687183849513531,-0.14094872479053702
x3,0.687183849513531,0.265329004276317
x4,0.687183849513531,-0.3727339538776928
x5,0.687183849513531,0.004587194525079197
x1,0.690431304907423,-0.216447607241085
x2,0.690431304907423,-0.14096209332831927
x3,0.690431304907423,0.2652117377070789
x4,0.690431304907423,-0.37279212968557507
x5,0.690431304907423,0.0045864320379417215
x1,0.691579928371475,-0.21649413587251148
x2,0.691579928371475,-0.14097546083462548
x3,0.691579928371475,0.2650944166014671
x4,0.691579928371475,-0.3728503174181471
x5,0.691579928371475,0.004585669273248784
x1,0.693993212449704,-0.2165406764957188
x2,0.693993212449704,-0.14098881814441888
x3,0.693993212449704,0.2649771213512531
x4,0.693993212449704,-0.3729084772574652
x5,0.693993212449704,0.004584906751144167
x1,0.701681808364982,-0.21658725018193195
x2,0.701681808364982,-0.1410021713179294
x3,0.701681808364982,0.26485979871461945
x4,0.701681808364982,-0.37296663566190524
x5,0.701681808364982,0.004584144123613864
x1,0.707218485688535,-0.2166338900952199
x2,0.707218485688535,-0.14101552985237661
x3,0.707218485688535,0.2647423651117384
x4,0.707218485688535,-0.3730248340959163
x5,0.707218485688535,0.004583380844748858
x1,0.709029748069422,-0.2166806094581416
x2,0.709029748069422,-0.14102889750323
x3,0.709029748069422,0.26462478729616656
x4,0.709029748069422,-0.37308308904612014
x5,0.709029748069422,0.00458261669634164
x1,0.720977252349257,-0.2166806094581416
x2,0.720977252349257,-0.14102889750323
x3,0.720977252349257,0.26462478729616656
x4,0.720977252349257,-0.37308308904612014
x5,0.720977252349257,0.00458261669634164
x1,0.728093985468149,-0.2166806094581416
x2,0.728093985468149,-0.14102889750323
x3,0.728093985468149,0.26462478729616656
x4,0.728093985468149,-0.37308308904612014
x5,0.728093985468149,0.00458261669634164
x1,0.729751629294401,-0.21672750588723613
x2,0.729751629294401,-0.1410423021207312
x3,0.729751629294401,0.264506819842498
x4,0.729751629294401,-0.37314152206769363
x5,0.729751629294401,0.004581850081840981
x1,0.738217435777187,-0.21672750588723613
x2,0.738217435777187,-0.1410423021207312
x3,0.738217435777187,0.264506819842498
x4,0.738217435777187,-0.37314152206769363
x5,0.738217435777187,0.004581850081840981
x1,0.753207775131579,-0.2167745053267502
x2,0.753207775131579,-0.1410557224466181
x3,0.753207775131579,0.26438864932324774
x4,0.753207775131579,-0.3732000406919761
x5,0.753207775131579,0.004581082211407955
x1,0.757188846378376,-0.2168215666939019
x2,0.757188846378376,-0.14106914670958753
x3,0.757188846378376,0.26427037911267043
x4,0.757188846378376,-0.3732585937290776
x5,0.757188846378376,0.004580313754762567
x1,0.769120963213188,-0.21686869739556336
x2,0.769120963213188,-0.1410825769969587
x3,0.769120963213188,0.26415199061569494
x4,0.769120963213188,-0.37331719040296113
x5,0.769120963213188,0.004579544588821864
x1,0.772912469869041,-0.21691585359507876
x2,0.772912469869041,-0.14109600080709028
x3,0.772912469869041,0.26403359390162756
x4,0.772912469869041,-0.3733757762696344
x5,0.772912469869041,0.004578775426569004
x1,0.779224790086187,-0.21696309231065622
x2,0.779224790086187,-0.1411094343556525
x3,0.779224790086187,0.26391504579151776
x4,0.779224790086187,-0.3734344222065728
x5,0.779224790086187,0.004578005335600845
x1,0.781818447634578,-0.21696309231065622
x2,0.781818447634578,-0.1411094343556525
x3,0.781818447634578,0.26391504579151776
x4,0.781818447634578,-0.3734344222065728
x5,0.781818447634578,0.004578005335600845
x1,0.805360880691973,-0.21701035254631068
x2,0.805360880691973,-0.14112286028276627
x3,0.805360880691973,0.2637964993304506
x4,0.805360880691973,-0.37349305253281706
x5,0.805360880691973,0.00457723530765569
x1,0.807391038412197,-0.21705764979838155
x2,0.807391038412197,-0.14113628299626965
x3,0.807391038412197,0.2636779155400609
x4,0.807391038412197,-0.3735516865780923
x5,0.807391038412197,0.004576465087195514
x1,0.808926810575296,-0.21710498165626896
x2,0.808926810575296,-0.14114970181183817
x3,0.808926810575296,0.26355930038042685
x4,0.808926810575296,-0.3736103214406387
x5,0.808926810575296,0.004575694710827237
x1,0.814005330204964,-0.21710498165626896
x2,0.814005330204964,-0.14114970181183817
x3,0.814005330204964,0.26355930038042685
x4,0.814005330204964,-0.3736103214406387
x5,0.814005330204964,0.004575694710827237
x1,0.817884525284171,-0.21710498165626896
x2,0.817884525284171,-0.14114970181183817
x3,0.817884525284171,0.26355930038042685
x4,0.817884525284171,-0.3736103214406387
x5,0.817884525284171,0.004575694710827237
x1,0.81829496473074,-0.21710498165626896
x2,0.81829496473074,-0.14114970181183817
x3,0.81829496473074,0.26355930038042685
x4,0.81829496473074,-0.3736103214406387
x5,0.81829496473074,0.004575694710827237
x1,0.838033489526914,-0.21715253042944085
x2,0.838033489526914,-0.14116316833653372
x3,0.838033489526914,0.2634401972102525
x4,0.838033489526914,-0.3736691828132959
x5,0.838033489526914,0.004574921210476904
x1,0.838352221657351,-0.21720014448279715
x2,0.838352221657351,-0.14117663953307524
x3,0.838352221657351,0.263320986140128
x4,0.838352221657351,-0.37372808279141195
x5,0.838352221657351,0.004574147052587622
x1,0.840841609820294,-0.2172478364505559
x2,0.840841609820294,-0.14119011894437827
x3,0.840841609820294,0.2632016355789687
x4,0.840841609820294,-0.3737870369959899
x5,0.840841609820294,0.004573372030107264
x1,0.843774462311598,-0.21729556107300513
x2,0.843774462311598,-0.14120359376104977
x3,0.843774462311598,0.26308225877522945
x4,0.843774462311598,-0.37384598951478554
x5,0.843774462311598,0.004572596875930225
x1,0.850713612356601,-0.21734337800486825
x2,0.850713612356601,-0.141217080802409
x3,0.850713612356601,0.2629627065206853
x4,0.850713612356601,-0.3739050140532322
x5,0.850713612356601,0.00457182061880506
x1,0.854611661285162,-0.21734337800486825
x2,0.854611661285162,-0.141217080802409
x3,0.854611661285162,0.2629627065206853
x4,0.854611661285162,-0.3739050140532322
x5,0.854611661285162,0.00457182061880506
x1,0.860916753184958,-0.21739128428320711
x2,0.860916753184958,-0.14123057918420076
x3,0.860916753184958,0.26284298633172115
x4,0.860916753184958,-0.3739641068953748
x5,0.860916753184958,0.004571043305496192
x1,0.865582797128678,-0.2174392395237981
x2,0.865582797128678,-0.14124407749776519
x3,0.865582797128678,0.26272319916393716
x4,0.865582797128678,-0.37402321822557116
x5,0.865582797128678,0.004570265588928522
x1,0.872932813581013,-0.217487224562847
x2,0.872932813581013,-0.14125757034457342
x3,0.872932813581013,0.26260339281725936
x4,0.872932813581013,-0.3740823244980356
x5,0.872932813581013,0.004569487777284635
x1,0.883421029331643,-0.21753521680124818
x2,0.883421029331643,-0.1412710513840018
x3,0.883421029331643,0.26248362357481403
x4,0.883421029331643,-0.37414139800628776
x5,0.883421029331643,0.0045687102336483
x1,0.88494696541528,-0.21758324506663784
x2,0.88494696541528,-0.141284528724587
x3,0.88494696541528,0.2623638193658501
x4,0.88494696541528,-0.3742004743555617
x5,0.88494696541528,0.004567932487363361
x1,0.885600835782082,-0.21763128954975766
x2,0.885600835782082,-0.14129799681433977
x3,0.885600835782082,0.26224402949105435
x4,0.885600835782082,-0.3742595292883759
x5,0.885600835782082,0.0045671548564724055
x1,0.89008843738443,-0.2176793806544837
x2,0.89008843738443,-0.14131146417840457
x3,0.89008843738443,0.26212417805061694
x4,0.89008843738443,-0.37431860027081354
x5,0.89008843738443,0.004566376845681294
x1,0.897324230521917,-0.2176793806544837
x2,0.897324230521917,-0.14131146417840457
x3,0.897324230521917,0.26212417805061694
x4,0.897324230521917,-0.37431860027081354
x5,0.897324230521917,0.004566376845681294
x1,0.899638558506461,-0.21772753629083683
x2,0.899638558506461,-0.141324935813446
x3,0.899638558506461,0.26200422039902566
x4,0.899638558506461,-0.3743777093338012
x5,0.899638558506461,0.00456559816289033
x1,0.912329618436639,-0.21777570829786772
x2,0.912329618436639,-0.14133839824020425
x3,0.912329618436639,0.2618842764458872
x4,0.912329618436639,-0.3744367974317756
x5,0.912329618436639,0.00456481958426517
x1,0.917938281018223,-0.21782392560535827
x2,0.917938281018223,-0.14135185954575016
x3,0.917938281018223,0.2617642740653048
x4,0.917938281018223,-0.37449590014452494
x5,0.917938281018223,0.004564040639061893
x1,0.918401178547878,-0.21787215948025784
x2,0.918401178547878,-0.14136531171031197
x3,0.918401178547878,0.2616442846752156
x4,0.918401178547878,-0.3745549823456879
x5,0.918401178547878,0.004563261788526741
x1,0.919862211014396,-0.21792050641001373
x2,0.919862211014396,-0.14137878161636497
x3,0.919862211014396,0.2615240682704555
x4,0.919862211014396,-0.374614162230714
x5,0.919862211014396,0.004562481472451851
x1,0.92472604940339,-0.21796892958859967
x2,0.92472604940339,-0.14139225895656518
x3,0.92472604940339,0.26140371649343147
x4,0.92472604940339,-0.37467339467805183
x5,0.92472604940339,0.0045617002833517805
x1,0.956083888789124,-0.2180173782208156
x2,0.956083888789124,-0.1414057295777667
x3,0.956083888789124,0.26128335556748866
x4,0.956083888789124,-0.37473261759581
x5,0.956083888789124,0.00456091903811901
x1,0.958053628033889,-0.21806583693087728
x2,0.958053628033889,-0.1414191892174938
x3,0.958053628033889,0.26116302355642906
x4,0.958053628033889,-0.3747918123136361
x5,0.958053628033889,0.004560137981563685
x1,0.968010214735821,-0.21811431753645322
x2,0.968010214735821,-0.1414326411721214
x3,0.968010214735821,0.26104269097578736
x4,0.968010214735821,-0.37485099339579125
x5,0.968010214735821,0.004559356919846778
x1,0.970687201974573,-0.2181628351279901
x2,0.970687201974573,-0.14144608963087948
x3,0.970687201974573,0.2609223202768078
x4,0.970687201974573,-0.3749101793573222
x5,0.970687201974573,0.004558575607000452
x1,0.972664850528062,-0.21821140951824314
x2,0.972664850528062,-0.1414595400730987
x3,0.972664850528062,0.2608018622696916
x4,0.972664850528062,-0.37496939441775623
x5,0.972664850528062,0.004557793721210388
x1,0.974971918566113,-0.2182600245035737
x2,0.974971918566113,-0.14147298799734404
x3,0.974971918566113,0.2606813571093938
x4,0.974971918566113,-0.3750286188689252
x5,0.974971918566113,0.00455701152076334
x1,0.987280147556766,-0.21830866815159272
x2,0.987280147556766,-0.1414864301003273
x3,0.987280147556766,0.2605608342992878
x4,0.987280147556766,-0.37508783825398967
x5,0.987280147556766,0.004556229194802537
x1,0.987585925889139,-0.2183573621243794
x2,0.987585925889139,-0.1414998723611807
x3,0.987585925889139,0.26044024011061195
x4,0.987585925889139,-0.37514707901149313
x5,0.987585925889139,0.004555446392334816
x1,0.992340990150594,-0.2184060556870323
x2,0.992340990150594,-0.1415133007795304
x3,0.992340990150594,0.2603197000878073
x4,0.992340990150594,-0.37520627951978736
x5,0.992340990150594,0.004554663925842638
x1,0.995477923592262,-0.21845475389173893
