importance_ranking,variable,value
1,x1,3
2,x1,26
3,x1,45
4,x1,17
5,x1,9
1,x2,63
2,x2,22
3,x2,9
4,x2,6
5,x2,
1,x3,
2,x3,11
3,x3,20
4,x3,36
5,x3,33
1,x4,1
2,x4,4
3,x4,9
4,x4,30
5,x4,56
1,x5,33
2,x5,37
3,x5,17
4,x5,11
5,x5,2
