importance_ranking,variable,value
1,x1,13
2,x1,24
3,x1,20
4,x1,21
5,x1,22
1,x2,21
2,x2,27
3,x2,18
4,x2,25
5,x2,9
1,x3,24
2,x3,19
3,x3,21
4,x3,17
5,x3,19
1,x4,16
2,x4,12
3,x4,21
4,x4,21
5,x4,30
1,x5,26
2,x5,18
3,x5,20
4,x5,16
5,x5,20
