importance_ranking,variable,value
1,x1,8
2,x1,9
3,x1,17
4,x1,30
5,x1,36
1,x2,54
2,x2,17
3,x2,14
4,x2,11
5,x2,4
1,x3,2
2,x3,7
3,x3,24
4,x3,31
5,x3,36
1,x4,11
2,x4,28
3,x4,28
4,x4,15
5,x4,18
1,x5,25
2,x5,39
3,x5,17
4,x5,13
5,x5,6
