importance_ranking,variable,value
1,x1,
2,x1,
3,x1,17
4,x1,39
5,x1,44
1,x2,30
2,x2,67
3,x2,3
4,x2,
5,x2,
1,x3,70
2,x3,30
3,x3,
4,x3,
5,x3,
1,x4,
2,x4,2
3,x4,46
4,x4,27
5,x4,25
1,x5,
2,x5,1
3,x5,34
4,x5,34
5,x5,31
