,variable_name,variable,value
0,x1,0.180074567003756,0.04806660707946358
1,x2,0.180074567003756,0.05956782621462762
2,x3,0.180074567003756,0.03175189213061272
3,x4,0.180074567003756,0.030127052270907614
4,x5,0.180074567003756,0.029016695166969076
5,x1,0.283422913535228,0.05706022313405906
6,x2,0.283422913535228,0.0627303830041842
7,x3,0.283422913535228,0.032694251010792076
8,x4,0.283422913535228,0.0090634791746175
9,x5,0.283422913535228,0.034415669021674776
10,x1,0.324556741623051,0.06312400672665165
11,x2,0.324556741623051,0.06849882490244474
12,x3,0.324556741623051,0.024726248739816943
13,x4,0.324556741623051,0.017058765245702785
14,x5,0.324556741623051,0.0315864379224376
15,x1,0.336398752474155,0.08465578103809075
16,x2,0.336398752474155,0.05423315195599965
17,x3,0.336398752474155,0.026479785395394428
18,x4,0.336398752474155,0.02556386170628607
19,x5,0.336398752474155,0.04466021323201325
20,x1,0.352174695541912,0.07788423654163622
21,x2,0.352174695541912,0.05836830698405477
22,x3,0.352174695541912,0.043520860837197535
23,x4,0.352174695541912,0.02261691668512994
24,x5,0.352174695541912,0.0759730231601024
25,x1,0.405693442812799,0.08190018120792944
26,x2,0.405693442812799,0.051425617272754125
27,x3,0.405693442812799,0.04552566571299284
28,x4,0.405693442812799,0.024984572088206296
29,x5,0.405693442812799,0.06759651711041474
30,x1,0.411972233447546,0.08326964888488862
31,x2,0.411972233447546,0.04746175935821545
32,x3,0.411972233447546,0.05127233467029653
33,x4,0.411972233447546,0.027170621329752606
34,x5,0.411972233447546,0.07392631116187694
35,x1,0.433445033800847,0.08758776242842031
36,x2,0.433445033800847,0.05044332630600879
37,x3,0.433445033800847,0.061435536271957684
38,x4,0.433445033800847,0.027531042375008072
39,x5,0.433445033800847,0.06513130869773363
40,x1,0.493042347146959,0.08423643481381243
41,x2,0.493042347146959,0.05095281945287314
42,x3,0.493042347146959,0.05340518244061455
43,x4,0.493042347146959,0.027574347445008977
44,x5,0.493042347146959,0.0647759437120672
45,x1,0.50057985579867,0.08144772085409681
46,x2,0.50057985579867,0.055002038733694546
47,x3,0.50057985579867,0.03677031953406609
48,x4,0.50057985579867,0.028432265588644957
49,x5,0.50057985579867,0.06431832350641736
50,x1,0.51175669692764,0.08091160581380712
51,x2,0.51175669692764,0.056943268988489316
52,x3,0.51175669692764,0.03526486449692157
53,x4,0.51175669692764,0.028745622715897125
54,x5,0.51175669692764,0.06551106134016871
55,x1,0.513758398945257,0.07662396869464598
56,x2,0.513758398945257,0.04877231083187176
57,x3,0.513758398945257,0.034000732558109634
58,x4,0.513758398945257,0.02965763064213937
59,x5,0.513758398945257,0.05021554608873981
60,x1,0.524648558856018,0.0765686843766002
61,x2,0.524648558856018,0.04879365510773397
62,x3,0.524648558856018,0.03690725424386006
63,x4,0.524648558856018,0.032652983172789474
64,x5,0.524648558856018,0.05112386400761683
65,x1,0.527740934054233,0.07667120523685156
66,x2,0.527740934054233,0.05038617514399538
67,x3,0.527740934054233,0.03603629755656076
68,x4,0.527740934054233,0.034040321126764486
69,x5,0.527740934054233,0.05237509818921543
70,x1,0.52826306260318,0.07517670566794533
71,x2,0.52826306260318,0.057392949926638966
72,x3,0.52826306260318,0.05235784124095361
73,x4,0.52826306260318,0.029527546643411545
74,x5,0.52826306260318,0.06074725346699509
75,x1,0.531326812736871,0.06745654492312515
76,x2,0.531326812736871,0.05571275822444503
77,x3,0.531326812736871,0.048649405923886745
78,x4,0.531326812736871,0.03156675716043566
79,x5,0.531326812736871,0.060458362385756
80,x1,0.559662049705611,0.06660703909111092
81,x2,0.559662049705611,0.04389634229787224
82,x3,0.559662049705611,0.04743320904780687
83,x4,0.559662049705611,0.029226853143811488
84,x5,0.559662049705611,0.06613512582928514
85,x1,0.564427278479615,0.06488346212204954
86,x2,0.564427278479615,0.04509505425733436
87,x3,0.564427278479615,0.04217531847954919
88,x4,0.564427278479615,0.03345506703585468
89,x5,0.564427278479615,0.06527479214278599
90,x1,0.565401553289127,0.065349307743535
91,x2,0.565401553289127,0.04720439617999818
92,x3,0.565401553289127,0.04436445277549348
93,x4,0.565401553289127,0.02210143957646741
94,x5,0.565401553289127,0.06408419393270331
95,x1,0.593554021122667,0.06283938788240316
96,x2,0.593554021122667,0.04811791652691729
97,x3,0.593554021122667,0.040670659610922276
98,x4,0.593554021122667,0.024959650657713668
99,x5,0.593554021122667,0.06427104888438306
100,x1,0.622227013340826,0.0631055940099394
101,x2,0.622227013340826,0.05182955817123551
102,x3,0.622227013340826,0.04320936753234561
103,x4,0.622227013340826,0.026335396951408005
104,x5,0.622227013340826,0.06523552369503113
105,x1,0.628150924535649,0.06394162885009885
106,x2,0.628150924535649,0.04957712334556714
107,x3,0.628150924535649,0.04232871643222309
108,x4,0.628150924535649,0.029563757869348655
109,x5,0.628150924535649,0.06327494421278385
110,x1,0.629388545509857,0.06214358834255781
111,x2,0.629388545509857,0.05682902744230832
112,x3,0.629388545509857,0.052989083587550966
113,x4,0.629388545509857,0.02746500303444106
114,x5,0.629388545509857,0.05881111481937102
115,x1,0.645145921545308,0.06598338394031607
116,x2,0.645145921545308,0.05698238007092722
117,x3,0.645145921545308,0.04536329636825857
118,x4,0.645145921545308,0.026171436392492416
119,x5,0.645145921545308,0.051681026343371995
120,x1,0.660448914842066,0.06382215165162154
121,x2,0.660448914842066,0.05898892794360065
122,x3,0.660448914842066,0.044040477129217326
123,x4,0.660448914842066,0.02840428688566256
124,x5,0.660448914842066,0.052375208205698756
125,x1,0.666314918952493,0.06374620627205897
126,x2,0.666314918952493,0.05914226408815254
127,x3,0.666314918952493,0.03712544822770765
128,x4,0.666314918952493,0.02162353064928127
129,x5,0.666314918952493,0.052294711606601124
130,x1,0.669807551108214,0.06447000284223124
131,x2,0.669807551108214,0.06024680560383262
132,x3,0.669807551108214,0.03648590020381994
133,x4,0.669807551108214,0.022531637545501797
134,x5,0.669807551108214,0.05173364723255256
135,x1,0.673077158342133,0.06765770940229701
136,x2,0.673077158342133,0.05629931341900326
137,x3,0.673077158342133,0.0395213215731828
138,x4,0.673077158342133,0.02407015603961873
139,x5,0.673077158342133,0.05527323682436097
140,x1,0.675581145206025,0.0689576222209686
141,x2,0.675581145206025,0.05595942149462153
142,x3,0.675581145206025,0.037747383504
143,x4,0.675581145206025,0.026689431631818264
144,x5,0.675581145206025,0.05581178488518952
145,x1,0.681114471102408,0.06942244217852117
146,x2,0.681114471102408,0.056817501535860584
147,x3,0.681114471102408,0.042345635219496996
148,x4,0.681114471102408,0.027325290230115505
149,x5,0.681114471102408,0.05988219153028714
150,x1,0.690431304907423,0.07009780863476534
151,x2,0.690431304907423,0.05782346468148353
152,x3,0.690431304907423,0.039295665407638625
153,x4,0.690431304907423,0.02807177063508815
154,x5,0.690431304907423,0.060653272842482044
155,x1,0.691579928371475,0.07008966212234749
156,x2,0.691579928371475,0.060552027126141446
157,x3,0.691579928371475,0.0436334954266453
158,x4,0.691579928371475,0.028704961794958374
159,x5,0.691579928371475,0.0628789055495976
160,x1,0.693993212449704,0.0738689134713274
161,x2,0.693993212449704,0.0651440816092037
162,x3,0.693993212449704,0.042810681321918814
163,x4,0.693993212449704,0.03005753912173535
164,x5,0.693993212449704,0.061623642841800726
165,x1,0.701681808364982,0.07430671607057232
166,x2,0.701681808364982,0.06479944252112645
167,x3,0.701681808364982,0.04090417399686535
168,x4,0.701681808364982,0.030710904321597034
169,x5,0.701681808364982,0.060111042021221354
170,x1,0.707218485688535,0.07790523365224643
171,x2,0.707218485688535,0.059902925905473116
172,x3,0.707218485688535,0.03737647634725716
173,x4,0.707218485688535,0.02936595695180074
174,x5,0.707218485688535,0.062174799186380435
175,x1,0.709029748069422,0.07779324972878177
176,x2,0.709029748069422,0.05584476531703731
177,x3,0.709029748069422,0.035695982266902154
178,x4,0.709029748069422,0.02943744407211507
179,x5,0.709029748069422,0.06367338970482318
180,x1,0.729751629294401,0.07968823442009848
181,x2,0.729751629294401,0.0475072310947794
182,x3,0.729751629294401,0.03739004896718326
183,x4,0.729751629294401,0.029876248284764522
184,x5,0.729751629294401,0.062024708873610286
185,x1,0.753207775131579,0.08086653963805245
186,x2,0.753207775131579,0.048371634354995856
187,x3,0.753207775131579,0.03623873495930798
188,x4,0.753207775131579,0.031114246228840084
189,x5,0.753207775131579,0.0612418093355036
190,x1,0.757188846378376,0.08122366883658572
191,x2,0.757188846378376,0.04753504193620195
192,x3,0.757188846378376,0.03714970901115259
193,x4,0.757188846378376,0.03125959478352895
194,x5,0.757188846378376,0.05968571874842688
195,x1,0.769120963213188,0.07811094326204128
196,x2,0.769120963213188,0.04740071085095461
197,x3,0.769120963213188,0.034544974924471374
198,x4,0.769120963213188,0.032752189622917705
199,x5,0.769120963213188,0.06215851787251853
200,x1,0.772912469869041,0.07813348414977965
201,x2,0.772912469869041,0.04610816165225738
202,x3,0.772912469869041,0.03183415229275544
203,x4,0.772912469869041,0.0315546104380992
204,x5,0.772912469869041,0.059182178491819795
205,x1,0.779224790086187,0.0752136066157369
206,x2,0.779224790086187,0.047091612048642525
207,x3,0.779224790086187,0.03089392787616311
208,x4,0.779224790086187,0.03188163709623693
209,x5,0.779224790086187,0.058731556242197676
210,x1,0.805360880691973,0.07433409548608451
211,x2,0.805360880691973,0.045403295823738046
212,x3,0.805360880691973,0.030896855491123882
213,x4,0.805360880691973,0.032531069020801814
214,x5,0.805360880691973,0.055603766512200614
215,x1,0.807391038412197,0.07355189263068972
216,x2,0.807391038412197,0.042309218716522594
217,x3,0.807391038412197,0.031126905251678025
218,x4,0.807391038412197,0.03271563969430235
219,x5,0.807391038412197,0.05654579617842431
220,x1,0.808926810575296,0.07449200938488594
221,x2,0.808926810575296,0.04186190442579729
222,x3,0.808926810575296,0.030756977323133514
223,x4,0.808926810575296,0.03456399343318835
224,x5,0.808926810575296,0.05247129026260406
225,x1,0.838033489526914,0.07470515187711192
226,x2,0.838033489526914,0.04139086359891293
227,x3,0.838033489526914,0.030986903944157835
228,x4,0.838033489526914,0.035109687378342545
229,x5,0.838033489526914,0.050334609691491894
230,x1,0.838352221657351,0.07606412656782502
231,x2,0.838352221657351,0.040678165433167275
232,x3,0.838352221657351,0.029790702931781952
233,x4,0.838352221657351,0.03552568070619702
234,x5,0.838352221657351,0.05168890089660195
235,x1,0.840841609820294,0.0767146446613852
236,x2,0.840841609820294,0.04039677858951765
237,x3,0.840841609820294,0.03071516125542878
238,x4,0.840841609820294,0.035988500723378815
239,x5,0.840841609820294,0.05251369178805012
240,x1,0.843774462311598,0.0771160281615284
241,x2,0.843774462311598,0.040741675543941196
242,x3,0.843774462311598,0.03298265804738685
243,x4,0.843774462311598,0.036896411410599746
244,x5,0.843774462311598,0.047456139171985885
245,x1,0.850713612356601,0.07528297667892647
246,x2,0.850713612356601,0.041893395505641494
247,x3,0.850713612356601,0.035418136559435986
248,x4,0.850713612356601,0.0363382034126127
249,x5,0.850713612356601,0.05152224760762399
250,x1,0.860916753184958,0.07554745332162628
251,x2,0.860916753184958,0.03530654426227369
252,x3,0.860916753184958,0.03440337236089558
253,x4,0.860916753184958,0.03602311210114696
254,x5,0.860916753184958,0.05022207395622434
255,x1,0.865582797128678,0.07683228375499108
256,x2,0.865582797128678,0.03419996216413486
257,x3,0.865582797128678,0.03569569728933215
258,x4,0.865582797128678,0.03679138506862335
259,x5,0.865582797128678,0.053271964156362366
260,x1,0.872932813581013,0.0739179243321469
261,x2,0.872932813581013,0.03481162665549117
262,x3,0.872932813581013,0.03266440801203362
263,x4,0.872932813581013,0.037351738522271846
