,time,brier_score,label
0,32.603204995224466,0.0106329487845611,RSF
1,36.32267327118897,0.020865035784341738,RSF
2,49.16985630459816,0.021450050716829837,RSF
3,57.580063342831494,0.03172223826984104,RSF
4,61.22998789600218,0.041619451618268556,RSF
5,62.47189717670103,0.04189234309754546,RSF
6,81.02444559507329,0.05427847140777295,RSF
7,84.17466077215465,0.0641008856834863,RSF
8,91.87791656555008,0.07422659199533985,RSF
9,98.19115359497901,0.0849391476831952,RSF
10,99.08428208247923,0.09248437112661666,RSF
11,99.27786521799173,0.09997952742858862,RSF
12,100.97133687675723,0.1087778128685758,RSF
13,102.61658114326059,0.11628857796844726,RSF
14,108.18564580813212,0.12236508808960633,RSF
15,110.95241554479013,0.12960699231547732,RSF
16,119.20782185693318,0.13614624017603397,RSF
17,121.96939893563071,0.14581318597480072,RSF
18,123.7114276556175,0.15101590159093745,RSF
19,125.85639908012939,0.15869640040504585,RSF
20,127.23607843292629,0.1662835238185902,RSF
21,134.0920281679455,0.16343159988514297,RSF
22,139.65362078650207,0.16199321840820793,RSF
23,141.52818961413703,0.16856256695026425,RSF
24,142.6759615234005,0.1701108972562926,RSF
25,144.17534284177916,0.16935751021669965,RSF
26,145.79394597618162,0.17450772659312316,RSF
27,148.05166638903722,0.1755374262183035,RSF
28,153.72688137859976,0.18224561894565688,RSF
29,158.64384163191218,0.18278956229146132,RSF
30,159.75096899563917,0.18905812289863108,RSF
31,161.35357315841475,0.18767967267542227,RSF
32,162.6176012239464,0.18945832006129593,RSF
33,163.01579978634118,0.19584039130851935,RSF
34,164.87739016736978,0.2016381372094756,RSF
35,168.15533397906495,0.20017247321711598,RSF
36,170.52616153725864,0.20093987814432454,RSF
37,172.2276339394322,0.20046765125215343,RSF
38,174.15120962207908,0.20231048961011705,RSF
39,176.25142753652344,0.20537032271257336,RSF
40,179.7971221331717,0.21051619965433538,RSF
41,185.93279657538545,0.2129378572067779,RSF
42,191.46304866152263,0.21432871980526774,RSF
43,195.74479740736018,0.21805094831019942,RSF
44,196.9245153602767,0.21704283689105663,RSF
45,199.92003422187864,0.2214657971411735,RSF
46,204.74663400277396,0.2196345945761379,RSF
47,208.31708511778672,0.223968388196397,RSF
48,212.4945062345427,0.2179329377225861,RSF
49,213.6709040390922,0.21798881497596742,RSF
50,216.87819496502402,0.21610290717704264,RSF
51,218.55341051441664,0.21414693415920222,RSF
52,219.53278128708675,0.20792945325220386,RSF
53,220.47245684883342,0.20206883663005495,RSF
54,235.9768125058599,0.19124293489936342,RSF
55,239.41035449975251,0.19564748996758025,RSF
56,241.3135168073186,0.19641119892450026,RSF
57,243.25314833301354,0.19490605248609189,RSF
58,250.2896761052024,0.19260771245897224,RSF
59,254.90708331535686,0.19248034103463876,RSF
60,257.386534087557,0.19111378293587677,RSF
61,261.57338041846094,0.19043665074580618,RSF
62,266.3716143712358,0.19225131630833267,RSF
63,268.22385929776283,0.19243335290556512,RSF
64,268.857008835634,0.19138965438606775,RSF
65,271.136028245148,0.18659436249482336,RSF
66,279.28308262697215,0.17997416235273186,RSF
67,287.13641077804823,0.18180948246466902,RSF
68,289.57652842020394,0.1813521425956578,RSF
69,292.92487649377335,0.17847823498971357,RSF
70,299.8558134745835,0.1749295436018757,RSF
71,303.74667185356685,0.1744007794932867,RSF
72,315.02948713950997,0.17446217301085423,RSF
73,327.5330764357981,0.17446706013892038,RSF
74,338.81626727130856,0.17671879177896907,RSF
75,349.7488431373254,0.17940319456344883,RSF
76,351.3413984336183,0.17701844737696346,RSF
77,358.10698312362035,0.17195824395331516,RSF
78,367.7125685953518,0.16455296974343078,RSF
79,372.28532695221804,0.16156508945940415,RSF
80,381.5644220189269,0.1540178153261999,RSF
81,389.3470959263315,0.15197043948708142,RSF
82,392.1960141805263,0.14504555734715158,RSF
83,402.0000384965488,0.13860413172421615,RSF
84,428.89012369569036,0.13586161852524054,RSF
85,441.2410208383885,0.13058236683928282,RSF
86,450.7731677111473,0.1210792298520326,RSF
87,451.83499211149905,0.11463239101882379,RSF
88,459.1499200341998,0.10469195636465221,RSF
89,473.68463297233166,0.10124537224262128,RSF
90,475.8403002276571,0.09475909753498987,RSF
91,487.38061088814936,0.08638728128109391,RSF
92,501.3360679704651,0.08199626945256024,RSF
93,514.6556092943225,0.07182377236682226,RSF
94,528.68826020596,0.06851043162509218,RSF
95,537.9585482336307,0.05519664738354838,RSF
96,550.7207117347475,0.05380907518365783,RSF
97,633.111807220886,0.04510251153204393,RSF
98,674.9707430132453,0.034104475115634136,RSF
99,698.9155823341171,0.021969196273463054,RSF
100,815.4943290808076,0.01504981492336546,RSF
0,32.603204995224466,0.010230781230851223,CPH
1,36.32267327118897,0.02015208206903532,CPH
2,49.16985630459816,0.020431389105713002,CPH
3,57.580063342831494,0.02995194027519945,CPH
4,61.22998789600218,0.03884843302626692,CPH
5,62.47189717670103,0.03893086891903363,CPH
6,81.02444559507329,0.049629330842233976,CPH
7,84.17466077215465,0.05937229769688738,CPH
8,91.87791656555008,0.06878189114701412,CPH
9,98.19115359497901,0.07880181363362272,CPH
10,99.08428208247923,0.0859430160364722,CPH
11,99.27786521799173,0.09459279891299761,CPH
12,100.97133687675723,0.10351009617148947,CPH
13,102.61658114326059,0.10885973068604772,CPH
14,108.18564580813212,0.1151632935777727,CPH
15,110.95241554479013,0.12206141961285913,CPH
16,119.20782185693318,0.12801958564472718,CPH
17,121.96939893563071,0.13604309640683676,CPH
18,123.7114276556175,0.14109467784319993,CPH
19,125.85639908012939,0.14925753998316216,CPH
