importance_ranking,variable,value
1,x1,3
2,x1,10
3,x1,25
4,x1,31
5,x1,31
1,x2,28
2,x2,44
3,x2,17
4,x2,7
5,x2,4
1,x3,64
2,x3,28
3,x3,4
4,x3,3
5,x3,1
1,x4,2
2,x4,4
3,x4,34
4,x4,29
5,x4,31
1,x5,3
2,x5,14
3,x5,20
4,x5,30
5,x5,33
