,time,sigma,method,cluster,model
0,5.7276740009599,1.0379230464509746e-09,shap,1,rsf
1,9.8260812409196,2.188206517418967e-09,shap,1,rsf
2,13.3762370520276,2.397112118618754e-09,shap,1,rsf
3,16.3526286943034,2.7864270865838813e-09,shap,1,rsf
4,16.5324716997911,2.9310065612541073e-09,shap,1,rsf
5,18.3696086314022,3.0703636876327963e-09,shap,1,rsf
6,18.4058542755547,3.4561530677588304e-09,shap,1,rsf
7,18.6262876004158,3.6024018419431492e-09,shap,1,rsf
8,19.5408314772914,3.787006543590502e-09,shap,1,rsf
9,19.7069152961622,4.528797032144045e-09,shap,1,rsf
10,20.0799076752599,4.357882634490539e-09,shap,1,rsf
11,20.6656184787953,4.4278936496952535e-09,shap,1,rsf
12,22.1846062056455,4.462807891120057e-09,shap,1,rsf
13,22.187595602074,5.224322059542685e-09,shap,1,rsf
14,22.2867582614098,5.355829192099511e-09,shap,1,rsf
15,22.5988458321695,5.9180903923392036e-09,shap,1,rsf
16,25.1639437418928,6.057863507082077e-09,shap,1,rsf
17,26.2108145867548,6.217343382129516e-09,shap,1,rsf
18,26.3843332929163,6.439887629796849e-09,shap,1,rsf
19,26.6649702788906,6.60489586702257e-09,shap,1,rsf
20,27.6129410978016,6.85628886407702e-09,shap,1,rsf
21,29.4865466115167,6.9985930661561464e-09,shap,1,rsf
22,30.5483139108515,7.204277155868798e-09,shap,1,rsf
23,33.3430340567446,7.478613282094946e-09,shap,1,rsf
24,33.4548478680592,7.531041654705621e-09,shap,1,rsf
25,33.8930388592888,7.728785172030491e-09,shap,1,rsf
26,34.7727355371029,8.05098160696201e-09,shap,1,rsf
27,35.2844925649236,8.66552456323516e-09,shap,1,rsf
28,35.7073814823948,8.780808723393011e-09,shap,1,rsf
29,36.2203630985143,8.550483549403962e-09,shap,1,rsf
30,36.639450323588,8.833775501279246e-09,shap,1,rsf
31,36.7108887751388,9.00279890628162e-09,shap,1,rsf
32,37.0481852099071,9.56857464285106e-09,shap,1,rsf
33,37.1657490480909,9.495951157138237e-09,shap,1,rsf
34,37.2550472882151,9.877401630537058e-09,shap,1,rsf
35,37.3685490703465,9.881421225361683e-09,shap,1,rsf
36,37.4228891972398,9.291245132807107e-09,shap,1,rsf
37,38.1937080244626,9.030648316785072e-09,shap,1,rsf
38,39.6298544347067,8.989331898179862e-09,shap,1,rsf
39,39.7939078692797,8.969040157837963e-09,shap,1,rsf
40,39.9197998744604,8.985390438928151e-09,shap,1,rsf
41,41.9913318012214,9.104594485337846e-09,shap,1,rsf
42,42.0147112240308,9.172098259229886e-09,shap,1,rsf
43,42.3955009437433,9.338414473077535e-09,shap,1,rsf
44,43.2339180208654,9.562368047576969e-09,shap,1,rsf
45,43.6458675687477,9.507896921467797e-09,shap,1,rsf
46,43.6661322854132,9.798284380046674e-09,shap,1,rsf
47,44.7282320203048,1.0358430185877649e-08,shap,1,rsf
48,44.8191211866179,1.0547407101826296e-08,shap,1,rsf
49,46.0511726396585,1.0553779540837294e-08,shap,1,rsf
50,46.3082892789738,1.0729556314363882e-08,shap,1,rsf
51,46.6996337992101,1.1234342464460261e-08,shap,1,rsf
52,47.4705969004833,1.1336979128234678e-08,shap,1,rsf
53,47.9099165359395,1.1406916720612367e-08,shap,1,rsf
54,48.816722006202,1.1849277523505285e-08,shap,1,rsf
55,49.9480884102635,1.2311495318859148e-08,shap,1,rsf
56,50.387916235596,1.2595798818061424e-08,shap,1,rsf
57,50.4525749130593,1.2693592819639898e-08,shap,1,rsf
58,50.4674845058532,1.2800265440676172e-08,shap,1,rsf
59,50.6130527703763,1.276609897684067e-08,shap,1,rsf
60,50.7277011053767,1.3122692613072713e-08,shap,1,rsf
61,51.2149088629604,1.348294362586787e-08,shap,1,rsf
62,51.4750074183884,1.3995172803243641e-08,shap,1,rsf
63,52.1137764677418,1.4291434981131319e-08,shap,1,rsf
64,52.7986597344129,1.49601830731499e-08,shap,1,rsf
65,53.2185510629582,1.533856717784093e-08,shap,1,rsf
66,53.5016999509569,1.5354163203910393e-08,shap,1,rsf
67,54.7807179167552,1.560088357028489e-08,shap,1,rsf
68,55.0997748985582,1.5818566914903383e-08,shap,1,rsf
69,55.7678203653712,1.5597858327034375e-08,shap,1,rsf
70,55.8801022322739,1.6101908539910647e-08,shap,1,rsf
71,55.9462086242552,1.6239335928669445e-08,shap,1,rsf
72,57.0226236043113,1.6426214707412655e-08,shap,1,rsf
73,57.1934959623247,1.664038932025846e-08,shap,1,rsf
74,57.8671160048525,1.635243907686081e-08,shap,1,rsf
75,58.5260431224639,1.6448221030899246e-08,shap,1,rsf
76,58.8988090809779,1.6856757431746337e-08,shap,1,rsf
77,59.3122833999827,1.7405407857589807e-08,shap,1,rsf
78,59.4607147276812,1.7695747544724963e-08,shap,1,rsf
79,60.5499402414557,1.8003421187963706e-08,shap,1,rsf
80,60.5911907737527,1.8257373299466483e-08,shap,1,rsf
81,60.9850739088222,1.844937278422828e-08,shap,1,rsf
82,61.0995794135042,1.8561075023326315e-08,shap,1,rsf
83,61.5602598275207,1.8846354943017628e-08,shap,1,rsf
84,61.6073120529229,1.913455931922826e-08,shap,1,rsf
85,61.6914890472756,1.8918725637428855e-08,shap,1,rsf
86,61.8441287717167,1.9027037105641715e-08,shap,1,rsf
87,62.0390701384722,1.9126285365337804e-08,shap,1,rsf
88,62.039299666202,1.866687972717155e-08,shap,1,rsf
89,62.3364056353158,1.8905772844341736e-08,shap,1,rsf
90,63.3319255974616,1.8251444207949545e-08,shap,1,rsf
91,63.3967251083319,1.8221951461427376e-08,shap,1,rsf
92,63.6228888630133,1.839803701661774e-08,shap,1,rsf
93,64.2583596199678,1.848472105489811e-08,shap,1,rsf
94,64.8787054632602,1.9358903422471315e-08,shap,1,rsf
95,65.3277575005134,1.94866785251975e-08,shap,1,rsf
96,65.4313244071148,1.9890423015263018e-08,shap,1,rsf
97,65.9357148983267,1.9983675953900614e-08,shap,1,rsf
98,66.0726448588306,2.017840732166368e-08,shap,1,rsf
99,66.0774026537222,2.0276741540177e-08,shap,1,rsf
100,66.1108935810034,2.039773273066913e-08,shap,1,rsf
101,66.4752423944368,2.0215747521566598e-08,shap,1,rsf
102,66.6779640508845,1.9933640685938728e-08,shap,1,rsf
103,66.8876175790487,1.9652013817067036e-08,shap,1,rsf
104,66.8943963068677,1.979669091305819e-08,shap,1,rsf
105,67.3239606921629,1.9610825649021198e-08,shap,1,rsf
