,time,sigma,label
0,0.0,6.417080567722996e-09,RSF
1,0.005716082995607,6.43111960278348e-09,RSF
2,0.012596183109198,6.413352871242246e-09,RSF
3,0.0242759975366527,6.394947918103113e-09,RSF
4,0.0398202116264992,6.391191393059707e-09,RSF
5,0.0540419430259313,6.372549369958725e-09,RSF
6,0.0766367530008554,6.373179246542913e-09,RSF
7,0.0958902820921388,6.3926472217092706e-09,RSF
8,0.102930702967571,6.362038352290404e-09,RSF
9,0.14379849606822,6.395243544591285e-09,RSF
10,0.164826881359793,6.386565816447171e-09,RSF
11,0.195743844225025,6.431965729262841e-09,RSF
12,0.197050649636993,6.464034930084067e-09,RSF
13,0.265576943018298,6.49109153974243e-09,RSF
14,0.271418266781667,6.47152407475758e-09,RSF
15,0.272871014686315,6.4405626080826365e-09,RSF
16,0.281606922471045,6.430595576077066e-09,RSF
17,0.288929878826311,6.429611635361218e-09,RSF
18,0.290980229594952,6.435975237619631e-09,RSF
19,0.298450476669634,6.444158370845969e-09,RSF
20,0.315458572805194,6.442723537353185e-09,RSF
21,0.321661405455074,6.418054848268209e-09,RSF
22,0.325149047926669,6.467459499430694e-09,RSF
23,0.367839311085278,6.5309550259457e-09,RSF
24,0.393590364034165,6.543123583908279e-09,RSF
25,0.394187974897607,6.5326471508274715e-09,RSF
26,0.396678991570201,6.612344840119137e-09,RSF
27,0.41293188494788,6.636586924618633e-09,RSF
28,0.415375813650064,6.614987299194106e-09,RSF
29,0.437703149130707,6.616727414827901e-09,RSF
30,0.446410451568595,6.7005140041165095e-09,RSF
31,0.472277601363055,6.747705764764003e-09,RSF
32,0.474510764185031,6.753648505144617e-09,RSF
33,0.566423906718254,6.76032973484384e-09,RSF
34,0.58224849610603,6.787605733478019e-09,RSF
35,0.590047838235091,6.802445121060147e-09,RSF
36,0.594169777137701,6.785584187892185e-09,RSF
37,0.600173730663564,6.845955989412327e-09,RSF
38,0.616200941506595,6.891146933158565e-09,RSF
39,0.621186216204052,6.930897096449971e-09,RSF
40,0.631645897536388,6.906876397914465e-09,RSF
41,0.648270851022753,6.916701762182887e-09,RSF
42,0.651386801003674,6.916602487931958e-09,RSF
43,0.660035015728511,6.9087965058231055e-09,RSF
44,0.674773403090897,6.9205755971103255e-09,RSF
45,0.683836001295257,6.936934909797277e-09,RSF
46,0.69829172075216,6.904259471508516e-09,RSF
47,0.698292826688831,6.92746061468429e-09,RSF
48,0.720756792877842,6.940146652612439e-09,RSF
49,0.756951847465032,6.960579895534953e-09,RSF
50,0.758214539336976,6.9596133675843345e-09,RSF
51,0.77160128327387,7.013752414334788e-09,RSF
52,0.777002891599459,7.009685306150883e-09,RSF
53,0.785506067946169,7.040826278237918e-09,RSF
54,0.802971091032214,7.011412150094815e-09,RSF
55,0.821325164533049,7.033438735043769e-09,RSF
56,0.826929570390826,7.025407354830751e-09,RSF
57,0.83240267283678,7.024700979137348e-09,RSF
58,0.855089828512985,7.0096864659336465e-09,RSF
59,0.867687213728091,7.0024307003848785e-09,RSF
60,0.91456021942914,6.998170056558702e-09,RSF
61,0.916937813269312,6.994187794519023e-09,RSF
62,0.923885073624501,7.048908377544863e-09,RSF
63,0.928145480625946,7.048867628883827e-09,RSF
64,0.972262400175684,7.040510810008739e-09,RSF
